Fytoken,Symbol Details,Tick size,ISIN,NSE_SYMBOL,SYMBOL
101000000010216,SDL AP 7.95% 2040,0.01,IN1020220274,NSE:795AP40-SG,795AP40
101000000010217,ADANI ENERGY SOLUTION LTD,0.05,INE931S01010,NSE:ADANIENSOL-EQ,ADANIENSOL
101000000010218,SDL AP 7.92% 2042,0.01,IN1020220282,NSE:792AP42-SG,792AP42
101000000010219,SDL RJ 7.81% 2047,0.01,IN2920220075,NSE:781RJ47-SG,781RJ47
101000000010227,MANORAMA INDUSTRIES LTD,0.05,INE00VM01036,NSE:MANORAMA-EQ,MANORAMA
10100000001023,FEDERAL BANK LTD,0.05,INE171A01029,NSE:FEDERALBNK-EQ,FEDERALBNK
101000000010232,2.50%GOLDBONDS2030SR-I,0.01,IN0020220045,NSE:SGBJUN30-GB,SGBJUN30
101000000010233,SDL GJ 7.65% 2029,0.01,IN1520220048,NSE:765GJ29-SG,765GJ29
101000000010234,SDL TN 7.65% 2029,0.01,IN3120220063,NSE:765TN29-SG,765TN29
101000000010235,SDL HP 7.76% 2030,0.01,IN1720220012,NSE:776HP30-SG,776HP30
101000000010238,CONFIDENCE PETRO IND LTD.,0.05,INE552D01024,NSE:CONFIPET-EQ,CONFIPET
101000000010243,SYNGENE INTERNATIONAL LTD,0.05,INE398R01022,NSE:SYNGENE-EQ,SYNGENE
101000000010246,SDL AS 7.82% 2032,0.01,IN1220220041,NSE:782AS32-SG,782AS32
101000000010247,SDL HP 7.82% 2032,0.01,IN1720220020,NSE:782HP32-SG,782HP32
101000000010252,SDL WB 7.82% 2032,0.01,IN3420220045,NSE:782WB32-SG,782WB32
101000000010253,EMKAY TAP & CUT. TOOL LTD,0.05,INE332S01011,NSE:EMKAYTOOLS-SM,EMKAYTOOLS
101000000010255,SDL AP 7.95% 2040,0.01,IN1020220290,NSE:795AP40A-SG,795AP40A
101000000010257,SDL AP 7.92% 2042,0.01,IN1020220308,NSE:792AP42A-SG,792AP42A
101000000010261,2.50%GOLDBONDS2027SR-I,0.01,IN0020190073,NSE:SGBJUN27-GB,SGBJUN27
101000000010268,SDL PN 8.04% 2042,0.01,IN2820220035,NSE:804PN42-SG,804PN42
101000000010269,SDL TS 7.91% 2043,0.01,IN4520220059,NSE:791TS43-SG,791TS43
101000000010271,SDL TS 7.9% 2044,0.01,IN4520220067,NSE:79TS44-SG,79TS44
101000000010272,SDL TS 7.92% 2045,0.01,IN4520220075,NSE:792TS45-SG,792TS45
101000000010276,KAYA LIMITED,0.05,INE587G01015,NSE:KAYA-EQ,KAYA
101000000010277,NGL FINE CHEM LIMITED,0.05,INE887E01022,NSE:NGLFINE-EQ,NGLFINE
101000000010285,AYM SYNTEX LIMITED,0.05,INE193B01039,NSE:AYMSYNTEX-EQ,AYMSYNTEX
101000000010296,KCK INDUSTRIES LTD,0.05,INE0J1E01019,NSE:KCK-ST,KCK
101000000010297,PRAKASH PIPES LIMITED,0.05,INE050001010,NSE:PPL-EQ,PPL
10100000001030,AARON INDUSTRIES LIMITED,0.05,INE721Z01010,NSE:AARON-EQ,AARON
101000000010300,RAMA STEEL TUBES LIMITED,0.05,INE230R01035,NSE:RAMASTEEL-EQ,RAMASTEEL
101000000010311,MANGALAM WORLDWIDE LTD,0.05,INE0JYY01011,NSE:MWL-SM,MWL
101000000010314,AURUM PROPTECH LIMITED,0.05,INE898S01029,NSE:AURUM-BE,AURUM
101000000010321,THE P K TEA PROD CO LTD,0.05,INE431F01018,NSE:PKTEA-EQ,PKTEA
101000000010325,SKP BEARING INDUSTRI. LTD,0.05,INE0KZA01016,NSE:SKP-SM,SKP
101000000010330,SDL ML 7.78% 2031,0.01,IN2420220021,NSE:778ML31-SG,778ML31
101000000010331,SDL HR 7.81% 2032,0.01,IN1620220138,NSE:781HR32A-SG,781HR32A
101000000010332,SDL HR 7.9% 2034,0.01,IN1620220146,NSE:79HR34-SG,79HR34
101000000010333,SDL PN 7.94% 2042,0.01,IN2820220043,NSE:794PN42-SG,794PN42
101000000010334,SDL TS 7.89% 2034,0.01,IN4520220083,NSE:789TS34-SG,789TS34
101000000010336,SDL AP 7.97% 2039,0.01,IN1020220316,NSE:797AP39-SG,797AP39
101000000010337,SDL AP 7.92% 2041,0.01,IN1020220324,NSE:792AP41-SG,792AP41
101000000010338,SDL TN 7.87% 2033,0.01,IN3120220071,NSE:787TN33-SG,787TN33
101000000010343,RADHIKA JEWELTECH LIMITED,0.05,INE583V01021,NSE:RADHIKAJWE-EQ,RADHIKAJWE
101000000010346,DIGICONTENT LIMITED,0.05,INE03JI01017,NSE:DGCONTENT-EQ,DGCONTENT
101000000010350,CSL FINANCE LIMITED,0.05,INE718F01018,NSE:CSLFINANCE-EQ,CSLFINANCE
101000000010355,SDL AP 8.03% 2036,0.01,IN1020220332,NSE:803AP36-SG,803AP36
101000000010357,SDL AS 7.83% 2032,0.01,IN1220220058,NSE:783AS32-SG,783AS32
101000000010367,SDL GJ 7.8% 2032,0.01,IN1520220055,NSE:78GJ32A-SG,78GJ32A
101000000010368,SDL MN 7.83% 2032,0.01,IN2320220030,NSE:783MN32-SG,783MN32
101000000010370,MODERN THREADS INDIA LTD,0.05,INE794W01014,NSE:MODTHREAD-BE,MODTHREAD
101000000010374,SDL MZ 8.02% 2036,0.01,IN2520220038,NSE:802MZ36-SG,802MZ36
10100000001038,FINOLEX CABLES LTD,0.05,INE235A01022,NSE:FINCABLES-EQ,FINCABLES
101000000010381,SDL RJ 7.98% 2042,0.01,IN2920220083,NSE:798RJ42-SG,798RJ42
101000000010382,SDL TS 7.95% 2035,0.01,IN4520220091,NSE:795TS35-SG,795TS35
101000000010383,SDL AP 8.02% 2038,0.01,IN1020220340,NSE:802AP38-SG,802AP38
101000000010384,SDL WB 8.02% 2037,0.01,IN3420220052,NSE:802WB37-SG,802WB37
101000000010393,SDL WB 8.01% 2041,0.01,IN3420220060,NSE:801WB41-SG,801WB41
101000000010394,SDL PN 7.85% 2032,0.01,IN2820220050,NSE:785PN32-SG,785PN32
101000000010397,JAIN IRRIGATION SYSTEMS,0.05,INE175A01038,NSE:JISLJALEQS-EQ,JISLJALEQS
1010000000104,SHARE IND. SECURITIES LTD,0.05,INE932X01018,NSE:SHAREINDIA-EQ,SHAREINDIA
101000000010406,STEEL CITY SECURITIES LTD,0.05,INE395H01011,NSE:STEELCITY-EQ,STEELCITY
10100000001041,FINOLEX INDUSTRIES LTD,0.05,INE183A01024,NSE:FINPIPE-EQ,FINPIPE
101000000010412,KSHITIJ POLYLINE LIMITED,0.05,INE013801027,NSE:KSHITIJPOL-BE,KSHITIJPOL
101000000010415,MUTHOOT CAP SERV LTD,0.05,INE296G01013,NSE:MUTHOOTCAP-EQ,MUTHOOTCAP
101000000010417,DYNAMIC CABLES LIMITED,0.05,INE600Y01019,NSE:DYCL-EQ,DYCL
101000000010435,ORIENTAL INFRATRUST,0.01,INE07Z523018,NSE:OSEINTRUST-IV,OSEINTRUST
10100000001044,AXISAMC - AXISBNKETF,0.01,INF846K01X63,NSE:AXISBNKETF-EQ,AXISBNKETF
101000000010440,LUPIN LIMITED,0.05,INE326A01037,NSE:LUPIN-EQ,LUPIN
101000000010447,UNITED SPIRITS LIMITED,0.05,INE854D01024,NSE:MCDOWELL-N-EQ,MCDOWELL-N
101000000010452,SDL TN 7.64% 2029,0.01,IN3120220089,NSE:764TN29-SG,764TN29
101000000010453,SATIN CREDIT NET LTD,0.05,INE836B01017,NSE:SATIN-EQ,SATIN
101000000010454,SDL WB 7.97% 2042,0.01,IN3420220086,NSE:797WB42-SG,797WB42
101000000010457,ARVIND SMARTSPACES LTD,0.05,INE034S01021,NSE:ARVSMART-EQ,ARVSMART
101000000010458,SDL AP 7.79% 2031,0.01,IN1020220357,NSE:779AP31-SG,779AP31
101000000010459,SDL GJ 7.77% 2032,0.01,IN1520220063,NSE:777GJ32-SG,777GJ32
101000000010460,SDL TN 7.8% 2032,0.01,IN3120220097,NSE:78TN32A-SG,78TN32A
101000000010461,SDL HR 7.81% 2032,0.01,IN1620220153,NSE:781HR32B-SG,781HR32B
101000000010462,SDL RJ 7.81% 2032,0.01,IN2920220091,NSE:781RJ32-SG,781RJ32
101000000010463,SDL NL 7.82% 2032,0.01,IN2620220029,NSE:782NL32-SG,782NL32
101000000010470,SDL SK 7.82% 2032,0.01,IN3020220015,NSE:782SK32-SG,782SK32
101000000010471,SDL AP 8.04% 2037,0.01,IN1020220365,NSE:804AP37-SG,804AP37
101000000010473,POWER MECH PROJECTS LTD.,0.05,INE211R01019,NSE:POWERMECH-EQ,POWERMECH
101000000010474,SDL RJ 8.05% 2037,0.01,IN2920220109,NSE:805RJ37-SG,805RJ37
101000000010477,SDL JK 8.06% 2037,0.01,IN4920220030,NSE:806JK37-SG,806JK37
101000000010478,SDL WB 8.07% 2038,0.01,IN3420220078,NSE:807WB38-SG,807WB38
101000000010479,SDL HR 7.97% 2042,0.01,IN1620220161,NSE:797HR42-SG,797HR42
101000000010480,SDL RJ 7.97% 2042,0.01,IN2920220117,NSE:797RJ42-SG,797RJ42
101000000010485,RAM RATNA WIRES LIMITED,0.05,INE207E01023,NSE:RAMRAT-EQ,RAMRAT
101000000010498,AGNI GREEN POWER LTD,0.05,INE0LF301013,NSE:AGNI-ST,AGNI
101000000010499,HDFCAMC - H1158D46DD,0.01,INF179KC1CV7,NSE:H1158D46DD-MF,H1158D46DD
101000000010500,HDFCAMC - H1158D46DG,0.01,INF179KC1CU9,NSE:H1158D46DG-MF,H1158D46DG
101000000010501,HDFCAMC - H1158D46DQ,0.01,INF179KC1CW5,NSE:H1158D46DQ-MF,H1158D46DQ
101000000010503,HDFCAMC - H1158D46RD,0.01,INF179KC1CY1,NSE:H1158D46RD-MF,H1158D46RD
101000000010505,HDFCAMC - H1158D46RG,0.01,INF179KC1CX3,NSE:H1158D46RG-MF,H1158D46RG
101000000010507,HDFCAMC - H1158D46RQ,0.01,INF179KC1CZ8,NSE:H1158D46RQ-MF,H1158D46RQ
101000000010508,MOTILALAMC - MOHEALTH,0.01,INF247L01BB1,NSE:MOHEALTH-EQ,MOHEALTH
101000000010511,UTIAMC - UTINIFTETF,0.01,INF789F1AZC0,NSE:UTINIFTETF-EQ,UTINIFTETF
101000000010512,KOTAKMAMC - KOTAKCONS,0.01,INF174KA1JE5,NSE:CONS-EQ,CONS
101000000010515,UTIAMC - UTISENSETF,0.01,INF789FB1X58,NSE:UTISENSETF-EQ,UTISENSETF
101000000010524,SDL ML 6.94% 2025,0.01,IN2420220039,NSE:694ML25-SG,694ML25
101000000010525,SDL RJ 7.82% 2044,0.01,IN2920220133,NSE:782RJ44-SG,782RJ44
101000000010526,SDL HP 7.57% 2031,0.01,IN1720220046,NSE:757HP31-SG,757HP31
101000000010527,SDL AP 7.72% 2034,0.01,IN1020220373,NSE:772AP34-SG,772AP34
101000000010528,SDL AS 7.68% 2032,0.01,IN1220220066,NSE:768AS32-SG,768AS32
101000000010529,SDL BR 7.65% 2032,0.01,IN1320220016,NSE:765BR32-SG,765BR32
10100000001053,UFLEX LIMITED,0.05,INE516A01017,NSE:UFLEX-EQ,UFLEX
101000000010530,SHARDA MOTOR INDS LTD,0.05,INE597I01028,NSE:SHARDAMOTR-EQ,SHARDAMOTR
101000000010531,SDL GJ 7.61% 2032,0.01,IN1520220071,NSE:761GJ32-SG,761GJ32
101000000010532,SDL KL 7.85% 2035,0.01,IN2020220025,NSE:785KL35-SG,785KL35
10100000001054,GOI LOAN  5.15% 2025,0.01,IN0020200278,NSE:515GS2025-GS,515GS2025
101000000010540,SDL MZ 7.74% 2033,0.01,IN2520220046,NSE:774MZ33-SG,774MZ33
101000000010541,SDL NL 7.67% 2032,0.01,IN2620220037,NSE:767NL32-SG,767NL32
101000000010543,SDL RJ 7.65% 2032,0.01,IN2920220125,NSE:765RJ32-SG,765RJ32
101000000010544,SDL TN 7.64% 2032,0.01,IN3120220105,NSE:764TN32-SG,764TN32
101000000010545,SDL TS 7.84% 2036,0.01,IN4520220109,NSE:784TS36-SG,784TS36
101000000010551,SDL HP 7.89% 2037,0.01,IN1720220053,NSE:789HP37-SG,789HP37
101000000010553,SDL WB 7.89% 2037,0.01,IN3420220094,NSE:789WB37-SG,789WB37
101000000010555,SDL AP 7.82% 2042,0.01,IN1020220381,NSE:782AP42-SG,782AP42
101000000010557,NAVKAR CORPORATION LTD.,0.05,INE278M01019,NSE:NAVKARCORP-EQ,NAVKARCORP
101000000010558,SDL PN 7.82% 2042,0.01,IN2820220068,NSE:782PN42-SG,782PN42
101000000010559,SDL HP 7.43% 2028,0.01,IN1720220038,NSE:743HP28-SG,743HP28
101000000010568,RAMA PHOSPHATES LIMITED,0.05,INE809A01024,NSE:RAMAPHO-EQ,RAMAPHO
101000000010576,NIP IND ETF NIFTY BEES,0.01,INF204KB14I2,NSE:NIFTYBEES-EQ,NIFTYBEES
101000000010577,KRBL LIMITED,0.05,INE001B01026,NSE:KRBL-EQ,KRBL
101000000010578,MPS LIMITED,0.05,INE943D01017,NSE:MPSLTD-EQ,MPSLTD
101000000010579,MARKSANS PHARMA LIMITED,0.05,INE750C01026,NSE:MARKSANS-EQ,MARKSANS
101000000010580,TRANSPORT CORPN OF INDIA,0.05,INE688A01022,NSE:TCI-EQ,TCI
101000000010585,ICICIPRAMC - ICICIMOM30,0.01,INF109KC17C7,NSE:MOM30IETF-EQ,MOM30IETF
101000000010588,SHRE PUSH CHEM & FERT LTD,0.05,INE712K01011,NSE:SHREEPUSHK-EQ,SHREEPUSHK
101000000010590,LOYAL TEXTILE MILLS LTD,0.05,INE970D01010,NSE:LOYALTEX-EQ,LOYALTEX
101000000010599,GUJARAT GAS LIMITED,0.05,INE844O01030,NSE:GUJGASLTD-EQ,GUJGASLTD
101000000010604,BHARTI AIRTEL LIMITED,0.05,INE397D01024,NSE:BHARTIARTL-EQ,BHARTIARTL
101000000010610,UPSURGE SEEDS OF AGRI LTD,0.05,INE0CBM01019,NSE:USASEEDS-SM,USASEEDS
101000000010619,HDFCAMC - HDFCNEXT50,0.01,INF179KC1HS2,NSE:HDFCNEXT50-EQ,HDFCNEXT50
101000000010622,SADBHAV INFRA PROJ LTD.,0.05,INE764L01010,NSE:SADBHIN-BE,SADBHIN
101000000010628,DHANI LOANS & SERV LTD,0.01,INE614X07183,NSE:DHANILOANS-NF,DHANILOANS
101000000010630,DHANI LOANS & SERV LTD,0.01,INE614X07191,NSE:DHANILOANS-NG,DHANILOANS
101000000010633,HDFCAMC - HDFCNIF100,0.01,INF179KC1HR4,NSE:HDFCNIF100-EQ,HDFCNIF100
101000000010634,AUTOMOTIVE STAMPINGS & AS,0.05,INE900C01027,NSE:ASAL-EQ,ASAL
101000000010637,OLECTRA GREENTECH LIMITED,0.05,INE260D01016,NSE:OLECTRA-EQ,OLECTRA
101000000010638,SDL RJ 7.77% 2032,0.01,IN2920220141,NSE:777RJ32-SG,777RJ32
101000000010639,SDL AP 7.97% 2036,0.01,IN1020220407,NSE:797AP36-SG,797AP36
101000000010640,SDL HR 7.95% 2037,0.01,IN1620220187,NSE:795HR37-SG,795HR37
101000000010642,SDL TS 7.95% 2037,0.01,IN4520220117,NSE:795TS37-SG,795TS37
101000000010643,SDL AP 7.96% 2040,0.01,IN1020220415,NSE:796AP40-SG,796AP40
101000000010644,SDL TN 7.93% 2042,0.01,IN3120220121,NSE:793TN42-SG,793TN42
101000000010645,SDL RJ 7.93% 2045,0.01,IN2920220158,NSE:793RJ45-SG,793RJ45
101000000010646,SDL AS 7.54% 2028,0.01,IN1220220074,NSE:754AS28-SG,754AS28
101000000010647,SDL AP 7.74% 2031,0.01,IN1020220399,NSE:774AP31-SG,774AP31
101000000010648,SDL GJ 7.73% 2032,0.01,IN1520220089,NSE:773GJ32-SG,773GJ32
101000000010651,SDL TN 7.75% 2032,0.01,IN3120220113,NSE:775TN32-SG,775TN32
101000000010652,SDL HR 7.77% 2032,0.01,IN1620220179,NSE:777HR32-SG,777HR32
101000000010659,DHANI LOANS & SERV LTD,0.01,INE614X07209,NSE:DHANILOANS-NH,DHANILOANS
101000000010661,PONNIE SUGARS (ERODE) LTD,0.05,INE838E01017,NSE:PONNIERODE-EQ,PONNIERODE
101000000010666,PUNJAB NATIONAL BANK,0.05,INE160A01022,NSE:PNB-EQ,PNB
101000000010676,KOTAKMAMC - KOTAKMNC,0.01,INF174KA1JF2,NSE:MNC-EQ,MNC
101000000010684,SHAIVAL REALITY LIMITED,0.05,INE262S01010,NSE:SHAIVAL-ST,SHAIVAL
101000000010690,BIRLASLAMC - NIFTYQLITY,0.01,INF209KB15K4,NSE:NIFTYQLITY-EQ,NIFTYQLITY
101000000010693,BIRLASLAMC - MOMENTUM,0.01,INF209KB14K7,NSE:MOMENTUM-EQ,MOMENTUM
10100000001071,SDL BR 5.12% 2024,0.01,IN1320200091,NSE:512BR24-SG,512BR24
101000000010713,VEEKAYEM FASH & APP LTD,0.05,INE0KTW01013,NSE:VEEKAYEM-ST,VEEKAYEM
101000000010718,SDL AP 7.72% 2035,0.01,IN1020220423,NSE:772AP35-SG,772AP35
101000000010719,SDL AP 7.74% 2038,0.01,IN1020220431,NSE:774AP38-SG,774AP38
101000000010720,SDL TN 7.6% 2032,0.01,IN3120220139,NSE:76TN32-SG,76TN32
101000000010721,SDL BR 7.65% 2032,0.01,IN1320220024,NSE:765BR32A-SG,765BR32A
101000000010722,GOI LOAN  7.26% 2032,0.01,IN0020220060,NSE:726GS2032-GS,726GS2032
101000000010723,ICICIPRAMC - ICICIINFRA,0.01,INF109KC16E5,NSE:INFRAIETF-EQ,INFRAIETF
101000000010726,INDIAMART INTERMESH LTD,0.05,INE933S01016,NSE:INDIAMART-EQ,INDIAMART
10100000001073,FOSECO INDIA LTD,0.05,INE519A01011,NSE:FOSECOIND-EQ,FOSECOIND
101000000010733,SPORTKING INDIA LIMITED,0.05,INE885H01011,NSE:SPORTKING-EQ,SPORTKING
101000000010737,TFB 7.11% 2025 SR. 1A,0.01,INE733E07JR2,NSE:NTPC-N8,NTPC
101000000010738,ORACLE FIN SERV SOFT LTD.,0.05,INE881D01027,NSE:OFSS-EQ,OFSS
10100000001074,SDL GA 6.55% 2030,0.01,IN1420200173,NSE:655GA30-SG,655GA30
101000000010741,TFB 7.28% 2030 SR. 2A,0.01,INE733E07JS0,NSE:NTPC-N9,NTPC
101000000010744,TFB 7.37% 2035 SR. 3A,0.01,INE733E07JT8,NSE:NTPC-NA,NTPC
101000000010746,TFB 7.36% 2025 SR. 1B,0.01,INE733E07JU6,NSE:NTPC-NB,NTPC
101000000010749,TFB 7.53% 2030 SR. 2B,0.01,INE733E07JV4,NSE:NTPC-NC,NTPC
10100000001075,SDL GJ 6.5% 2030,0.01,IN1520200206,NSE:65GJ30-SG,65GJ30
101000000010751,TFB 7.62% 2035 SR. 3B,0.01,INE733E07JW2,NSE:NTPC-ND,NTPC
101000000010753,UNION BANK OF INDIA,0.05,INE692A01016,NSE:UNIONBANK-EQ,UNIONBANK
101000000010755,APTECH LIMITED,0.05,INE266F01018,NSE:APTECHT-EQ,APTECHT
101000000010757,HIGHWAYS INFRA TRUST,0.01,INE0KXY23015,NSE:HIGHWAYS-IV,HIGHWAYS
10100000001076,ZENSAR TECHNOLOGIES  LTD,0.05,INE520A01027,NSE:ZENSARTECH-EQ,ZENSARTECH
101000000010761,DSPAMC - DSPSILVETF,0.01,INF740KA1RE3,NSE:SILVERADD-EQ,SILVERADD
101000000010765,SDL AS 7.65% 2032,0.01,IN1220220082,NSE:765AS32-SG,765AS32
101000000010768,ORIENTAL AROMATICS LTD,0.05,INE959C01023,NSE:OAL-EQ,OAL
10100000001077,SDL HR 6.59% 2030,0.01,IN1620200122,NSE:659HR30-SG,659HR30
101000000010770,AHIMSA INDUSTRIES LTD.,0.05,INE136T01014,NSE:AHIMSA-ST,AHIMSA
101000000010771,SDL UP 7.66% 2032,0.01,IN3320220012,NSE:766UP32-SG,766UP32
101000000010773,SDL KL 7.76% 2038,0.01,IN2020220033,NSE:776KL38-SG,776KL38
101000000010782,SDL PN 7.75% 2042,0.01,IN2820220076,NSE:775PN42-SG,775PN42
101000000010783,SDL TS 7.74% 2045,0.01,IN4520220125,NSE:774TS45-SG,774TS45
101000000010784,SDL TS 7.74% 2046,0.01,IN4520220133,NSE:774TS46-SG,774TS46
101000000010791,NUCLEUS SOFTWARE EXPORTS,0.05,INE096B01018,NSE:NUCLEUS-EQ,NUCLEUS
101000000010793,SYRMA SGS TECHNOLOGY LTD,0.05,INE0DYJ01015,NSE:SYRMA-EQ,SYRMA
101000000010794,CANARA BANK,0.05,INE476A01014,NSE:CANBK-EQ,CANBK
10100000001080,SDL KA 6.47% 2030,0.01,IN1920200392,NSE:647KA30-SG,647KA30
101000000010822,MOTILALAMC - MOQUALITY,0.01,INF247L01BH8,NSE:MOQUALITY-EQ,MOQUALITY
101000000010825,MOTILALAMC - MOVALUE,0.01,INF247L01BE5,NSE:MOVALUE-EQ,MOVALUE
10100000001083,SDL RJ 6.61% 2030,0.01,IN2920200473,NSE:661RJ30-SG,661RJ30
101000000010836,SEYA INDUSTRIES LIMITED,0.05,INE573R01012,NSE:SEYAIND-BE,SEYAIND
101000000010838,HDFCAMC - HDFC1406DD,0.01,INF179KC1DD3,NSE:HDFC1406DD-MF,HDFC1406DD
101000000010839,HDFCAMC - HDFC1406DG,0.01,INF179KC1DC5,NSE:HDFC1406DG-MF,HDFC1406DG
10100000001084,SDL SK 6.6% 2030,0.01,IN3020200033,NSE:66SK30-SG,66SK30
101000000010840,HDFCAMC - HDFC1406DQ,0.01,INF179KC1DE1,NSE:HDFC1406DQ-MF,HDFC1406DQ
101000000010841,HDFCAMC - HDFC1406RD,0.01,INF179KC1DG6,NSE:HDFC1406RD-MF,HDFC1406RD
101000000010842,HDFCAMC - HDFC1406RG,0.01,INF179KC1DF8,NSE:HDFC1406RG-MF,HDFC1406RG
101000000010843,HDFCAMC - HDFC1406RQ,0.01,INF179KC1DH4,NSE:HDFC1406RQ-MF,HDFC1406RQ
101000000010844,SDL TN 7.7% 2042,0.01,IN3120220154,NSE:77TN42-SG,77TN42
101000000010845,SDL KL 7.71% 2042,0.01,IN2020220058,NSE:771KL42-SG,771KL42
101000000010846,SDL AP 7.71% 2042,0.01,IN1020220464,NSE:771AP42-SG,771AP42
101000000010847,SDL AP 7.71% 2039,0.01,IN1020220456,NSE:771AP39-SG,771AP39
101000000010848,SDL AP 7.71% 2037,0.01,IN1020220449,NSE:771AP37-SG,771AP37
10100000001085,GABRIEL INDIA LTD,0.05,INE524A01029,NSE:GABRIEL-EQ,GABRIEL
101000000010851,SDL KL 7.67% 2034,0.01,IN2020220041,NSE:767KL34-SG,767KL34
101000000010852,SDL TN 7.61% 2032,0.01,IN3120220147,NSE:761TN32-SG,761TN32
101000000010853,SDL HR 7.61% 2032,0.01,IN1620220203,NSE:761HR32-SG,761HR32
101000000010854,SDL BR 7.62% 2032,0.01,IN1320220032,NSE:762BR32-SG,762BR32
101000000010855,SDL HR 7.53% 2030,0.01,IN1620220195,NSE:753HR30-SG,753HR30
101000000010859,DREAMFOLKS SERVICES LTD,0.05,INE0JS101016,NSE:DREAMFOLKS-EQ,DREAMFOLKS
