Sr. No,Symbol,Company Name,MarketCap
549,JAICORPLTD,Jai Corp Limited,693187
550,VIJAYA,Vijaya Diagnostic Centre Limited,691299
551,JKPAPER,JK Paper Limited,689129
552,UJJIVAN,Ujjivan Financial Services Limited,687949
553,ROLEXRINGS,Rolex Rings Limited,686334
554,GARFIBRES,Garware Technical Fibres Limited,685929
555,ARVIND,Arvind Limited,683968
556,JUSTDIAL,Just Dial Limited,682098
557,GREENLAM,Greenlam Industries Limited,680734
558,VRLLOG,VRL Logistics Limited,680642
559,MTARTECH,Mtar Technologies Limited,679264
560,NEULANDLAB,Neuland Laboratories Limited,678881
561,POWERMECH,Power Mech Projects Limited,677466
562,GOCOLORS,Go Fashion (India) Limited,676030
563,ZENTEC,Zen Technologies Limited,667816
564,NETWEB,Netweb Technologies India Limited,665800
565,SIS,SIS LIMITED,662082
566,VOLTAMP,Voltamp Transformers Limited,659697
567,ELECTCAST,Electrosteel Castings Limited,658228
568,BECTORFOOD,Mrs. Bectors Food Specialities Limited,657579
569,VAIBHAVGBL,Vaibhav Global Limited,656754
570,TEXRAIL,Texmaco Rail & Engineering Limited,656083
571,SUNTECK,Sunteck Realty Limited,652664
572,RSYSTEMS,R Systems International Limited,649604
573,REDTAPE,Redtape Limited,649549
574,IWEL,Inox Wind Energy Limited,645931
575,FDC,FDC Limited,645461
576,EPL,EPL Limited,642903
577,SHRIPISTON,Shriram Pistons & Rings Limited,641365
578,TCI,Transport Corporation of India Limited,639076
579,THOMASCOOK,Thomas Cook  (India)  Limited,639012
580,BLUEJET,Blue Jet Healthcare Limited,638526
581,NAVA,NAVA LIMITED,635904
582,HNDFDS,Hindustan Foods Limited,631810
583,MOIL,MOIL Limited,628769
584,NESCO,Nesco Limited,621950
585,PGEL,PG Electroplast Limited,617721
586,SYMPHONY,Symphony Limited,612823
587,WOCKPHARMA,Wockhardt Limited,611495
588,ICIL,Indo Count Industries Limited,609710
589,SHAREINDIA,Share India Securities Limited,609200
590,INDIASHLTR,India Shelter Finance Corporation Limited,608746
591,JINDWORLD,Jindal Worldwide Limited,608379
592,TATACOFFEE,Tata Coffee Limited,599159
593,CMSINFO,CMS Info Systems Limited,598811
594,GENUSPOWER,Genus Power Infrastructures Limited,597720
595,INFIBEAM,Infibeam Avenues Limited,597351
596,STAR,Strides Pharma Science Limited,596533
597,NIITMTS,NIIT Learning Systems Limited,591753
598,UTKARSHBNK,Utkarsh Small Finance Bank Limited,591152
599,TIIL,Technocraft Industries (India) Limited,582515
600,FUSION,Fusion Micro Finance Limited,582302
601,BORORENEW,BOROSIL RENEWABLES LIMITED,574214
602,ASKAUTOLTD,ASK Automotive Limited,572699
603,ASTRAMICRO,Astra Microwave Products Limited,572613
604,AVANTIFEED,Avanti Feeds Limited,572300
605,JSWHL,JSW Holdings Limited,570815
606,GUJALKALI,Gujarat Alkalies and Chemicals Limited,570486
607,STLTECH,Sterlite Technologies Limited,569845
608,NAZARA,Nazara Technologies Limited,566880
609,GABRIEL,Gabriel India Limited,564664
610,SUPRAJIT,Suprajit Engineering Limited,562804
611,PTC,PTC India Limited,562564
612,DBL,Dilip Buildcon Limited,562489
613,SOUTHBANK,The South Indian Bank Limited,558762
614,GHCL,GHCL Limited,555353
615,RBA,Restaurant Brands Asia Limited,554802
616,PARADEEP,Paradeep Phosphates Limited,552801
617,HGINFRA,H.G. Infra Engineering Limited,552358
618,ICRA,ICRA Limited,552026
619,RAMKY,Ramky Infrastructure Limited,547908
620,KESORAMIND,Kesoram Industries Limited,547503
621,SANSERA,Sansera Engineering Limited,546013
622,ARVINDFASN,Arvind Fashions Limited,545213
623,SENCO,Senco Gold Limited,541040
624,AURIONPRO,Aurionpro Solutions Limited,540177
625,TEAMLEASE,Teamlease Services Limited,536278
626,CYIENTDLM,Cyient DLM Limited,535118
627,AGI,AGI Greenpac Limited,534465
628,KPIGREEN,KPI Green Energy Limited,530393
629,HEIDELBERG,HeidelbergCement India Limited,527329
630,TCIEXP,TCI Express Limited,526883
631,VSTIND,VST Industries Limited,526068
632,GREENPANEL,Greenpanel Industries Limited,525091
633,DODLA,Dodla Dairy Limited,522465
634,AHLUCONT,Ahluwalia Contracts (India) Limited,519489
635,RAIN,Rain Industries Limited,518981
636,GATEWAY,Gateway Distriparks Limited,518630
637,ORIENTCEM,Orient Cement Limited,514425
638,ETHOSLTD,Ethos Limited,511335
639,HCG,Healthcare Global Enterprises Limited,509066
640,FEDFINA,Fedbank Financial Services Limited,502377
641,GOKEX,Gokaldas Exports Limited,500921
642,PRUDENT,Prudent Corporate Advisory Services Limited,498081
643,ITDCEM,ITD Cementation India Limited,490711
644,BBOX,Black Box Limited,488854
645,JPASSOCIAT,Jaiprakash Associates Limited,486010
646,RALLIS,Rallis India Limited,485881
647,ORIENTELEC,Orient Electric Limited,484234
648,RTNPOWER,RattanIndia Power Limited,483310
649,DHANUKA,Dhanuka Agritech Limited,481763
650,WSTCSTPAPR,West Coast Paper Mills Limited,481761
651,WONDERLA,Wonderla Holidays Limited,476941
652,DBCORP,D.B.Corp Limited,475997
653,MASFIN,MAS Financial Services Limited,475423
654,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,472774
655,IBREALEST,Indiabulls Real Estate Limited,472070
656,KKCL,Kewal Kiran Clothing Limited,472049
657,MSTCLTD,Mstc Limited,471117
658,TINPLATE,The Tinplate Company of India Limited,470586
659,PATELENG,Patel Engineering Limited,465331
660,TI,Tilaknagar Industries Limited,463537
661,PRICOLLTD,Pricol Limited,462967
662,SHANTIGEAR,Shanthi Gears Limited,460679
663,HGS,Hinduja Global Solutions Limited,460365
664,PRIVISCL,Privi Speciality Chemicals Limited,459475
665,CHOICEIN,Choice International Limited,458004
666,AARTIPHARM,Aarti Pharmalabs Limited,457163
667,BANCOINDIA,Banco Products (I) Limited,457111
668,MAXESTATES,Max Estates Limited,456558
669,NOCIL,NOCIL Limited,455859
670,JAYNECOIND,Jayaswal Neco Industries Limited,454913
671,WELENT,Welspun Enterprises Limited,451575
672,AARTIDRUGS,Aarti Drugs Limited,449746
673,IIFLSEC,IIFL Securities Limited,449184
674,NFL,National Fertilizers Limited,448879
675,JAMNAAUTO,Jamna Auto Industries Limited,445495
676,PURVA,Puravankara Limited,443233
677,ROSSARI,Rossari Biotech Limited,441423
678,TIPSINDLTD,TIPS Industries Limited,439091
679,JKIL,J.Kumar Infraprojects Limited,436817
680,HEMIPROP,Hemisphere Properties India Limited,436620
681,GALLANTT,Gallantt Ispat Limited,433823
682,HCC,Hindustan Construction Company Limited,432726
683,MUTHOOTMF,Muthoot Microfin Limited,428191
684,DATAMATICS,Datamatics Global Services Limited,427337
685,ORISSAMINE,The Orissa Minerals Development Company Limited,425637
686,JISLJALEQS,Jain Irrigation Systems Limited,423508
687,KALAMANDIR,Sai Silks (Kalamandir) Limited,421757
688,SULA,Sula Vineyards Limited,420732
689,HMAAGRO,HMA Agro Industries Limited,420647
690,ADVENZYMES,Advanced Enzyme Technologies Limited,419732
691,IPL,India Pesticides Limited,419310
692,SINDHUTRAD,Sindhu Trade Links Limited,416321
693,DCBBANK,DCB Bank Limited,414644
694,PAISALO,Paisalo Digital Limited,414447
695,AMIORG,Ami Organics Limited,413800
696,LAOPALA,La Opala RG Limited,412476
697,THANGAMAYL,Thangamayil Jewellery Limited,409214
698,AZAD,Azad Engineering Limited,409091
699,SHARDACROP,Sharda Cropchem Limited,408518
700,SSWL,Steel Strips Wheels Limited,406761
701,TDPOWERSYS,TD Power Systems Limited,406120
702,JTLIND,JTL INDUSTRIES LIMITED,406022
703,EPIGRAL,Epigral Limited,405966
704,TIMETECHNO,Time Technoplast Limited,400984
705,TARC,TARC Limited,400446
706,FCL,Fineotex Chemical Limited,400134
707,VMART,V-Mart Retail Limited,396462
708,RAJRATAN,Rajratan Global Wire Limited,396217
709,LGBBROSLTD,LG Balakrishnan & Bros Limited,394995
710,NUCLEUS,Nucleus Software Exports Limited,393099
711,LUXIND,Lux Industries Limited,390932
712,ASHOKA,Ashoka Buildcon Limited,390907
713,DELTACORP,Delta Corp Limited,390812
714,BCG,Brightcom Group Limited,390468
715,NEOGEN,Neogen Chemicals Limited,390462
716,WABAG,VA Tech Wabag Limited,390432
717,KIRLPNU,Kirloskar Pneumatic Company Limited,390087
718,SHARDAMOTR,Sharda Motor Industries Limited,388459
719,JTEKTINDIA,Jtekt India Limited,388113
720,ITDC,India Tourism Development Corporation Limited,386949
721,BOROLTD,Borosil Limited,386084
722,ASHAPURMIN,Ashapura Minechem Limited,385156
723,IFBIND,IFB Industries Limited,380654
724,SUDARSCHEM,Sudarshan Chemical Industries Limited,380058
725,SUNFLAG,Sunflag Iron And Steel Company Limited,377289
726,HATHWAY,Hathway Cable & Datacom Limited,375262
727,HIKAL,Hikal Limited,374773
728,TATVA,Tatva Chintan Pharma Chem Limited,374694
729,BALMLAWRIE,Balmer Lawrie & Company Limited,374242
730,BHARATRAS,Bharat Rasayan Limited,374138
731,KOLTEPATIL,Kolte - Patil Developers Limited,371358
732,HLEGLAS,HLE Glascoat Limited,368565
733,HINDWAREAP,Hindware Home Innovation Limited,367916
734,FLAIR,Flair Writing Industries Limited,367461
735,INDOCO,Indoco Remedies Limited,364178
736,SAMHI,Samhi Hotels Limited,362920
737,AVALON,Avalon Technologies Limited,361719
738,ORCHPHARMA,Orchid Pharma Limited,361374
739,HARSHA,Harsha Engineers International Limited,357894
740,KDDL,KDDL Limited,356255
741,BAJAJHIND,Bajaj Hindusthan Sugar Limited,355106
742,SANGHVIMOV,Sanghvi Movers Limited,354096
743,ESAFSFB,ESAF Small Finance Bank Limited,353654
744,SUBROS,Subros Limited,353480
745,PILANIINVS,Pilani Investment and Industries Corporation Limited,352806
746,GULFOILLUB,Gulf Oil Lubricants India Limited,352563
747,GREAVESCOT,Greaves Cotton Limited,352524
748,EMUDHRA,eMudhra Limited,352497
749,IDEAFORGE,Ideaforge Technology Limited,350451
750,KIRLOSIND,Kirloskar Industries Limited,349405
751,UFLEX,UFLEX Limited,348709
752,GANESHHOUC,Ganesh Housing Corporation Limited,347349
753,DYNAMATECH,Dynamatic Technologies Limited,347233
754,MAITHANALL,Maithan Alloys Limited,346631
755,TVSSRICHAK,TVS Srichakra Limited,346420
756,LANDMARK,Landmark Cars Limited,342989
757,KSCL,Kaveri Seed Company Limited,342577
758,NAVNETEDUL,Navneet Education Limited,341808
759,TASTYBITE,Tasty Bite Eatables Limited,341508
760,THYROCARE,Thyrocare Technologies Limited,340777
761,SAKSOFT,Saksoft Limited,339278
762,TATAMETALI,Tata Metaliks Limited,339174
763,GMRP&UI,GMR Power and Urban Infra Limited,338918
764,DISHTV,Dish TV India Limited,336950
765,CARTRADE,Cartrade Tech Limited,334374
766,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,333996
767,NILKAMAL,Nilkamal Limited,333988
768,SAGCEM,Sagar Cements Limited,332847
769,DCXINDIA,DCX Systems Limited,330118
770,POLYPLEX,Polyplex Corporation Limited,330045
771,TRIL,Transformers And Rectifiers (India) Limited,329822
772,SANGHIIND,Sanghi Industries Limited,327816
773,SHALBY,Shalby Limited,326838
774,VSTTILLERS,V.S.T Tillers Tractors Limited,326427
775,GRWRHITECH,Garware Hi-Tech Films Limited,325695
776,NRBBEARING,NRB Bearing Limited,325515
777,SUNDARMHLD,Sundaram Finance Holdings Limited,324383
778,AUTOAXLES,Automotive Axles Limited,324227
779,YATHARTH,Yatharth Hospital & Trauma Care Services Limited,323956
780,BANARISUG,Bannari Amman Sugars Limited,320609
781,GENSOL,Gensol Engineering Limited,320234
782,BOMDYEING,Bombay Dyeing & Mfg Company Limited,318064
783,PFOCUS,Prime Focus Limited,317958
784,GUFICBIO,Gufic Biosciences Limited,317328
785,SBCL,Shivalik Bimetal Controls Limited,317140
786,BAJAJCON,Bajaj Consumer Care Limited,313242
787,INNOVACAP,Innova Captab Limited,309816
788,INOXGREEN,Inox Green Energy Services Limited,308580
789,SUNCLAY,Sundaram Clayton Limited,305859
790,SOMANYCERA,Somany Ceramics Limited,304625
791,MOLDTKPAC,Mold-Tek Packaging Limited,303915
792,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,303505
793,DIVGIITTS,Divgi Torqtransfer Systems Limited,299942
794,PRAKASH,Prakash Industries Limited,299425
795,APOLLO,Apollo Micro Systems Limited,299300
796,SANDHAR,Sandhar Technologies Limited,296861
797,GREENPLY,Greenply Industries Limited,295002
798,SWARAJENG,Swaraj Engines Limited,294304
799,WENDT,Wendt (India) Limited,293255
800,STYLAMIND,Stylam Industries Limited,291812
801,CIGNITITEC,Cigniti Technologies Limited,291292
802,MPSLTD,MPS Limited,290517
803,IFGLEXPOR,IFGL Refractories Limited,288098
804,KINGFA,Kingfa Science & Technology (India) Limited,287817
805,SHILPAMED,Shilpa Medicare Limited,286707
806,DREAMFOLKS,Dreamfolks Services Limited,286605
807,SEPC,SEPC Limited,286133
808,IMAGICAA,Imagicaaworld Entertainment Limited,286008
809,UNICHEMLAB,Unichem Laboratories Limited,285777
810,MUKANDLTD,Mukand Limited,285740
811,VENUSPIPES,Venus Pipes & Tubes Limited,284257
812,SEQUENT,Sequent Scientific Limited,283731
813,CARERATING,CARE Ratings Limited,283319
814,PGIL,Pearl Global Industries Limited,282837
815,HERITGFOOD,Heritage Foods Limited,281450
816,BSHSL,Bombay Super Hybrid Seeds Limited,280812
817,TARSONS,Tarsons Products Limited,280557
818,PARAS,Paras Defence and Space Technologies Limited,280371
819,MAHLOG,Mahindra Logistics Limited,279392
820,JINDALPOLY,Jindal Poly Films Limited,277672
821,FIEMIND,Fiem Industries Limited,276060
822,PSPPROJECT,PSP Projects Limited,275940
823,ISMTLTD,ISMT Limited,275410
824,VENKEYS,Venky's (India) Limited,274900
825,BBL,Bharat Bijlee Limited,273126
826,PARAGMILK,Parag Milk Foods Limited,272723
827,DEN,Den Networks Limited,272495
828,ZAGGLE,Zaggle Prepaid Ocean Services Limited,272093
829,IOLCP,IOL Chemicals and Pharmaceuticals Limited,271983
830,ASHIANA,Ashiana Housing Limited,271970
831,PFS,PTC India Financial Services Limited,269759
832,ANUP,The Anup Engineering Limited,269593
833,IMFA,Indian Metals & Ferro Alloys Limited,269420
834,APOLLOPIPE,Apollo Pipes Limited,269418
835,VPRPL,Vishnu Prakash R Punglia Limited,269169
836,DCAL,Dishman Carbogen Amcis Limited,268021
837,GANDHAR,Gandhar Oil Refinery (India) Limited,267136
838,GOODLUCK,Goodluck India Limited,266733
839,OPTIEMUS,Optiemus Infracom Limited,266501
840,SEAMECLTD,Seamec Limited,265920
841,SATIN,Satin Creditcare Network Limited,265351
842,APCOTEXIND,Apcotex Industries Limited,264254
843,GIPCL,Gujarat Industries Power Company Limited,263480
844,LUMAXTECH,Lumax Auto Technologies Limited,262748
845,DOLLAR,Dollar Industries Limited,262142
846,BARBEQUE,Barbeque Nation Hospitality Limited,261050
847,UNIPARTS,Uniparts India Limited,260851
848,VINDHYATEL,Vindhya Telelinks Limited,259433
849,MBAPL,Madhya Bharat Agro Products Limited,259069
850,GOCLCORP,GOCL Corporation Limited,257033
851,DIAMONDYD,Prataap Snacks Limited,255775
852,CONFIPET,Confidence Petroleum India Limited,255263
853,STYRENIX,Styrenix Performance Materials Limited,253875
854,SUPRIYA,Supriya Lifescience Limited,253320
855,EVEREADY,Eveready Industries India Limited,251607
856,GLOBUSSPR,Globus Spirits Limited,251563
857,BEPL,Bhansali Engineering Polymers Limited,250849
858,UGROCAP,Ugro Capital Limited,249557
859,MOREPENLAB,Morepen Laboratories Limited,248172
860,MAYURUNIQ,Mayur Uniquoters Ltd,247695
861,HMT,HMT Limited,247428
862,MUFIN,Mufin Green Finance Limited,247330
863,TIDEWATER,Tide Water Oil Company (India) Limited,246401
864,IKIO,IKIO Lighting Limited,246023
865,REPCOHOME,Repco Home Finance Limited,245491
866,AXISCADES,AXISCADES Technologies Limited,245144
867,FOSECOIND,Foseco India Limited,244764
868,ARTEMISMED,Artemis Medicare Services Limited,244753
869,SOTL,Savita Oil Technologies Limited,243268
870,ANDHRAPAP,ANDHRA PAPER LIMITED,242538
871,SIYSIL,Siyaram Silk Mills Limited,242526
872,HONDAPOWER,Honda India Power Products Limited,242475
873,HINDOILEXP,Hindustan Oil Exploration Company Limited,240974
874,INDIAGLYCO,India Glycols Limited,237769
875,TCNSBRANDS,TCNS Clothing Co. Limited,237357
876,PRECAM,Precision Camshafts Limited,236800
877,EMSLIMITED,EMS Limited,235673
878,SKIPPER,Skipper Limited,234653
879,DHANI,Dhani Services Limited,234055
880,MMFL,MM Forgings Limited,233598
881,VISHNU,Vishnu Chemicals Limited,233539
882,ALEMBICLTD,Alembic Limited,232388
883,LUMAXIND,Lumax Industries Limited,231800
884,KRSNAA,Krsnaa Diagnostics Limited,227966
885,CAMLINFINE,Camlin Fine Sciences Limited,227404
886,YATRA,Yatra Online Limited,226901
887,MANORAMA,Manorama Industries Limited,226184
888,PITTIENG,Pitti Engineering Limited,226145
889,TIRUMALCHM,Thirumalai Chemicals Limited,224793
890,UDS,Updater Services Limited,224755
891,SIRCA,Sirca Paints India Limited,224634
892,SESHAPAPER,Seshasayee Paper and Boards Limited,223356
893,BFUTILITIE,BF Utilities Limited,222804
894,RISHABH,Rishabh Instruments Limited,221258
895,IRMENERGY,IRM Energy Limited,220963
896,RPGLIFE,RPG Life Sciences Limited,220936
897,CARYSIL,CARYSIL LIMITED,220454
898,SDBL,Som Distilleries & Breweries Limited,220440
899,ADFFOODS,ADF Foods Limited,219892
900,ORIENTHOT,Oriental Hotels Limited,218159
901,FILATEX,Filatex India Limited,218155
902,PCJEWELLER,PC Jeweller Limited,217344
903,63MOONS,63 moons technologies limited,217237
904,FINOPB,Fino Payments Bank Limited,217148
905,EVERESTIND,Everest Industries Limited,217072
906,RPSGVENT,RPSG VENTURES LIMITED,216761
907,HUHTAMAKI,Huhtamaki India Limited,216672
908,PRECWIRE,Precision Wires India Limited,215194
909,GTPL,GTPL Hathway Limited,214917
910,ASTEC,Astec LifeSciences Limited,214770
911,XPROINDIA,Xpro India Limited,214516
912,SADHNANIQ,Sadhana Nitrochem Limited,214076
913,GANECOS,Ganesha Ecosphere Limited,214026
914,GREENPOWER,Orient Green Power Company Limited,213798
915,JINDRILL,Jindal Drilling And Industries Limited,213562
916,RUPA,Rupa & Company Limited,213484
917,SANGAMIND,Sangam (India) Limited,213473
918,ARMANFIN,Arman Financial Services Limited,212349
919,ATFL,Agro Tech Foods Limited,212171
920,HIL,HIL Limited,212171
921,MTNL,Mahanagar Telephone Nigam Limited,211995
922,KSL,Kalyani Steels Limited,211521
923,ACCELYA,Accelya Solutions India Limited,211304
924,SASKEN,Sasken Technologies Limited,210915
925,BHARATWIRE,Bharat Wire Ropes Limited,210128
926,SHRIRAMPPS,Shriram Properties Limited,208055
927,INDOSTAR,IndoStar Capital Finance Limited,207965
928,SALASAR,Salasar Techno Engineering Limited,207576
929,VIDHIING,Vidhi Specialty Food Ingredients Limited,207472
930,TNPL,Tamil Nadu Newsprint & Papers Limited,207182
931,PARACABLES,Paramount Communications Limited,206412
932,KIRIINDUS,Kiri Industries Limited,206404
933,TCPLPACK,TCPL Packaging Limited,205906
934,ADORWELD,Ador Welding Limited,205704
935,MANGLMCEM,Mangalam Cement Limited,205171
936,JAGRAN,Jagran Prakashan Limited,203833
937,RIIL,Reliance Industrial Infrastructure Limited,203571
938,SPECTRUM,Spectrum Electrical Industries Limited,202810
939,EXPLEOSOL,Expleo Solutions Limited,201594
940,BFINVEST,BF Investment Limited,201333
941,SHK,S H Kelkar and Company Limited,201333
942,PANAMAPET,Panama Petrochem Limited,200778
943,VAKRANGEE,Vakrangee Limited,200778
944,FMGOETZE,Federal-Mogul Goetze (India) Limited.,200637
945,AEROFLEX,Aeroflex Industries Limited,200447
946,TTKHLTCARE,TTK Healthcare Limited,200276
947,INSECTICID,Insecticides (India) Limited,200200
948,VERANDA,Veranda Learning Solutions Limited,198597
949,THEJO,Thejo Engineering Limited,198188
950,KCP,KCP Limited,198152
951,MOL,Meghmani Organics Limited,197856
952,CANTABIL,Cantabil Retail India Limited,196707
953,THEMISMED,Themis Medicare Limited,196663
954,MARATHON,Marathon Nextgen Realty Limited,195917
955,ARVSMART,Arvind SmartSpaces Limited,194728
956,QUICKHEAL,Quick Heal Technologies Limited,192642
957,SJS,S.J.S. Enterprises Limited,192063
958,SMLISUZU,SML Isuzu Limited,191337
959,GNA,GNA Axles Limited,191085
960,SUBEXLTD,Subex Limited,190800
961,DPSCLTD,DPSC Limited,190376
962,RAMCOIND,Ramco Industries Limited,188332
963,JASH,Jash Engineering Limited,188197
964,SHAKTIPUMP,Shakti Pumps (India) Limited,188121
965,MUFTI,Credo Brands Marketing Limited,187440
966,GEOJITFSL,Geojit Financial Services Limited,187010
967,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,185938
968,YASHO,Yasho Industries Limited,185830
969,TALBROAUTO,Talbros Automotive Components Limited,184505
970,CAPACITE,Capacit'e Infraprojects Limited,184112
971,RANEHOLDIN,Rane Holdings Limited,183506
972,GOKULAGRO,Gokul Agro Resources Limited,183101
973,GOLDIAM,Goldiam International Limited,182139
974,VADILALIND,Vadilal Industries Limited,181795
975,NITINSPIN,Nitin Spinners Limited,181731
976,NELCO,NELCO Limited,181269
977,MADRASFERT,Madras Fertilizers Limited,178339
978,VSSL,Vardhman Special Steels Limited,177741
979,HLVLTD,HLV LIMITED,177671
980,RAMASTEEL,Rama Steel Tubes Limited,177608
981,ROSSELLIND,Rossell India Limited,176910
982,PIXTRANS,Pix Transmissions Limited,176113
983,SUVEN,Suven Life Sciences Limited,176095
984,5PAISA,5Paisa Capital Limited,176038
985,UNITECH,Unitech Limited,175292
986,PNBGILTS,PNB Gilts Limited,174790
987,CENTUM,Centum Electronics Limited,173846
988,AMRUTANJAN,Amrutanjan Health Care Limited,173305
989,HARIOMPIPE,Hariom Pipe Industries Limited,172767
990,MANINDS,Man Industries (India) Limited,171414
991,BCLIND,Bcl Industries Limited,170984
992,PREMEXPLN,Premier Explosives Limited,170746
993,WHEELS,Wheels India Limited,169638
994,NDTV,New Delhi Television Limited,169173
995,DHAMPURSUG,Dhampur Sugar Mills Limited,168293
996,PENIND,Pennar Industries Limited,168278
997,DCW,DCW Limited,167943
998,DREDGECORP,Dredging Corporation of India Limited,167790
999,NSIL,Nalwa Sons Investments Limited,167254
1000,SPCENET,Spacenet Enterprises India Limited,166583
1001,GTLINFRA,GTL Infrastructure Limited,166491
1002,SURYODAY,Suryoday Small Finance Bank Limited,166251
1003,UNIVCABLES,Universal Cables Limited,165579
1004,SICALLOG,Sical Logistics Limited,165374
1005,HIMATSEIDE,Himatsingka Seide Limited,165162
1006,FAIRCHEMOR,Fairchem Organics Limited,164474
1007,DEEPINDS,Deep Industries Limited,164096
1008,DWARKESH,Dwarikesh Sugar Industries Limited,163634
1009,IGARASHI,Igarashi Motors India Limited,163324
1010,SHANKARA,Shankara Building Products Limited,163076
1011,SERVOTECH,Servotech Power Systems Limited,163000
1012,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,161916
1013,ACLGATI,Allcargo Gati Limited,161690
1014,CONTROLPR,Control Print Limited,160238
1015,COSMOFIRST,COSMO FIRST LIMITED,160097
1016,HPL,HPL Electric & Power Limited,160076
1017,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,159709
1018,AHL,Abans Holdings Limited,159314
1019,HERANBA,Heranba Industries Limited,159234
1020,ATULAUTO,Atul Auto Limited,158765
1021,GVKPIL,GVK Power & Infrastructure Limited,158651
1022,INDRAMEDCO,Indraprastha Medical Corporation Limited,158090
1023,SIGACHI,Sigachi Industries Limited,158016
1024,NPST,Network People Services Technologies Limited,157925
1025,HITECH,Hi-Tech Pipes Limited,157591
1026,SPIC,Southern Petrochemicals Industries Corporation  Limited,157312
1027,AJMERA,Ajmera Realty & Infra India Limited,156116
1028,MVGJL,Manoj Vaibhav Gems N Jewellers Limited,155726
1029,VASCONEQ,Vascon Engineers Limited,155143
1030,GENESYS,Genesys International Corporation Limited,155068
1031,UTTAMSUGAR,Uttam Sugar Mills Limited,154688
1032,NIITLTD,NIIT Limited,154648
1033,SHAILY,Shaily Engineering Plastics Limited,154184
1034,NAVKARCORP,Navkar Corporation Limited,153755
1035,GEPIL,GE Power India Limited,152942
1036,BAJEL,Bajel Projects Limited,152855
1037,SPAL,S. P. Apparels Limited,152287
1038,APTECHT,Aptech Limited,151076
1039,ANDHRSUGAR,The Andhra Sugars Limited,151054
1040,KUANTUM,Kuantum Papers Limited,150268
1041,KRISHANA,Krishana Phoschem Limited,150140
1042,KITEX,Kitex Garments Limited,149758
1043,CUPID,Cupid Limited,149439
1044,POKARNA,Pokarna Limited,148866
1045,KABRAEXTRU,Kabra Extrusion Technik Limited,148862
1046,STOVEKRAFT,Stove Kraft Limited,148716
1047,DPABHUSHAN,D. P. Abhushan Limited,147939
1048,MONARCH,Monarch Networth Capital Limited,147705
1049,JSLL,Jeena Sikho Lifecare Limited,146923
1050,OMINFRAL,OM INFRA LIMITED,146671
1051,SURAJEST,Suraj Estate Developers Limited,146658
1052,MONTECARLO,Monte Carlo Fashions Limited,146638
1053,NACLIND,NACL Industries Limited,146628
1054,KOKUYOCMLN,Kokuyo Camlin Limited,146193
1055,PENINLAND,Peninsula Land Limited,145970
1056,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,144292
1057,IGPL,IG Petrochemicals Limited,144243
1058,BLKASHYAP,B. L. Kashyap and Sons Limited,144169
1059,KICL,Kalyani Investment Company Limited,143782
1060,TAJGVK,Taj GVK Hotels & Resorts Limited,143430
1061,EKC,Everest Kanto Cylinder Limited,142560
1062,JITFINFRA,JITF Infralogistics Limited,142399
1063,HARDWYN,Hardwyn India Limited,141995
1064,SYNCOMF,Syncom Formulations (India) Limited,141470
1065,BETA,Beta Drugs Limited,141323
1066,EIHAHOTELS,EIH Associated Hotels Limited,140748
1067,ONWARDTEC,Onward Technologies Limited,140614
1068,KSOLVES,Ksolves India Limited,140138
1069,ALICON,Alicon Castalloy Limited,139964
1070,AVTNPL,AVT Natural Products Limited,139568
1071,SATIA,Satia Industries Limited,139150
1072,VALIANTORG,Valiant Organics Limited,138964
1073,SUMMITSEC,Summit Securities Limited,138921
1074,AGARIND,Agarwal Industrial Corporation Limited,138367
1075,NGLFINE,NGL Fine-Chem Limited,137798
1076,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,137597
1077,AWHCL,Antony Waste Handling Cell Limited,137483
1078,NELCAST,Nelcast Limited,137375
1079,OMAXE,Omaxe Limited,136993
1080,MANALIPETC,Manali Petrochemicals Limited,136395
1081,HEUBACHIND,Heubach Colorants India Limited,136044
1082,INDORAMA,Indo Rama Synthetics (India) Limited,136040
1083,COFFEEDAY,Coffee Day Enterprises Limited,134990
1084,OAL,Oriental Aromatics Limited,134682
1085,AVADHSUGAR,Avadh Sugar & Energy Limited,133823
1086,DCMSRIND,DCM Shriram Industries Limited,133359
1087,TEXINFRA,Texmaco Infrastructure & Holdings Limited,133288
1088,RML,Rane (Madras) Limited,133156
1089,REFEX,Refex Industries Limited,133155
1090,ROTO,Roto Pumps Limited,132226
1091,GULPOLY,Gulshan Polyols Limited,131883
1092,MARINE,Marine Electricals (India) Limited,131638
1093,SASTASUNDR,Sastasundar Ventures Limited,130487
1094,RAMRAT,Ram Ratna Wires Limited,130306
1095,SATINDLTD,Sat Industries Limited,130161
1096,BLISSGVS,Bliss GVS Pharma Limited,130133
1097,SOLARA,Solara Active Pharma Sciences Limited,130001
1098,ATL,Allcargo Terminals Limited,129113
1099,MATRIMONY,Matrimony.Com Limited,129033
1100,GMBREW,GM Breweries Limited,128948
